name,url,address,airport,distance,unit,rating,lat,long
Pullman Paris Centre - Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d207838-Reviews-Pullman_Paris_Centre_Bercy-Paris_Ile_de_France.html,"1 rue de Libourne Cour Saint-Emilion, 75012 Paris France",Orly Field,7,mi,4.0,48.83147,2.387207
Ibis Styles Paris 16 Boulogne,https://www.tripadvisor.com/Hotel_Review-g187147-d12570950-Reviews-Ibis_Styles_Paris_16_Boulogne-Paris_Ile_de_France.html,"19 avenue Ferdinand Buisson, 75016 Paris France",Orly Field,9,mi,3.0,48.8364043,2.2537826
Hotel Marais Home,https://www.tripadvisor.com/Hotel_Review-g187147-d269104-Reviews-Hotel_Marais_Home-Paris_Ile_de_France.html,"38 boulevard du Temple 11th Arr., 75011 Paris France",Orly Field,10,mi,3.0,48.865438,2.365687
Hotel Albert 1er,https://www.tripadvisor.com/Hotel_Review-g187147-d197643-Reviews-Hotel_Albert_1er-Paris_Ile_de_France.html,"162 rue la Fayette 10th Arr., 75010 Paris France",Orly Field,10,mi,3.0,48.879495,2.358136
Hotel du Danube Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d194279-Reviews-Hotel_du_Danube_Saint_Germain-Paris_Ile_de_France.html,"58 rue Jacob, 75006 Paris France",Orly Field,9,mi,3.0,48.8562752,2.331931
25hours Hotel Terminus Nord,https://www.tripadvisor.com/Hotel_Review-g187147-d653824-Reviews-25hours_Hotel_Terminus_Nord-Paris_Ile_de_France.html,"12 boulevard de Denain, 75010 Paris France",Orly Field,11,mi,4.0,48.879657,2.3549177
Hotel B55,https://www.tripadvisor.com/Hotel_Review-g187147-d15106280-Reviews-Hotel_B55-Paris_Ile_de_France.html,"55 rue Boussingault, 75013 Paris France",Orly Field,7,mi,4.0,48.8259771,2.3421819
Hotel Joyce - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d1631156-Reviews-Hotel_Joyce_Astotel-Paris_Ile_de_France.html,"29, rue la Bruyere 9th Arr., 75009 Paris France",Orly Field,11,mi,3.0,48.879369,2.33419
Hotel Gustave,https://www.tripadvisor.com/Hotel_Review-g187147-d289315-Reviews-Hotel_Gustave-Paris_Ile_de_France.html,"34 rue Viala, 75015 Paris France",Orly Field,9,mi,3.0,48.8501315,2.2890804
Hotel Le Derby Alma by Inwood Hotels,https://www.tripadvisor.com/Hotel_Review-g187147-d240927-Reviews-Hotel_Le_Derby_Alma_by_Inwood_Hotels-Paris_Ile_de_France.html,"8 Avenue Rapp, 75007 Paris France",Orly Field,10,mi,4.0,48.8604399,2.3007825
Cadet Residence,https://www.tripadvisor.com/Hotel_Review-g187147-d1167337-Reviews-Cadet_Residence-Paris_Ile_de_France.html,"7 rue Cadet, 75009 Paris France",Orly Field,10,mi,4.0,48.874745,2.3427688
Hotel Britannique,https://www.tripadvisor.com/Hotel_Review-g187147-d198174-Reviews-Hotel_Britannique-Paris_Ile_de_France.html,"20 avenue Victoria, 75001 Paris France",Orly Field,9,mi,3.0,48.8582403,2.34638
Hyatt Regency Paris Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html,"3 Place du General Koenig, 75017 Paris France",Orly Field,11,mi,4.0,48.8805372,2.2845671
Fred Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d529916-Reviews-Fred_Hotel-Paris_Ile_de_France.html,"11, avenue Villemain 14th Arr., 75014 Paris France",Orly Field,8,mi,3.0,48.8295667,2.3239624642685364
Hotel Excelsior Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d197590-Reviews-Hotel_Excelsior_Opera-Paris_Ile_de_France.html,"5 rue la Fayette, 75009 Paris France",Orly Field,10,mi,3.0,48.8735342,2.3346099
Yooma Urban Lodge,https://www.tripadvisor.com/Hotel_Review-g187147-d12251494-Reviews-Yooma_Urban_Lodge-Paris_Ile_de_France.html,"51 quai de Grenelle, 75015 Paris France",Orly Field,9,mi,3.0,48.8508043,2.2843319
Hotel Saint-Marcel,https://www.tripadvisor.com/Hotel_Review-g187147-d8418070-Reviews-Hotel_Saint_Marcel-Paris_Ile_de_France.html,"43 boulevard Saint Marcel, 75013 Paris France",Orly Field,8,mi,3.0,48.822867,2.373876
Hotel Relais Bosquet Paris by Malone,https://www.tripadvisor.com/Hotel_Review-g187147-d229602-Reviews-Hotel_Relais_Bosquet_Paris_by_Malone-Paris_Ile_de_France.html,"19 rue du Champ de Mars, 75007 Paris France",Orly Field,9,mi,3.0,48.8562481,2.3052147
Hotel Ares Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d197666-Reviews-Hotel_Ares_Paris-Paris_Ile_de_France.html,"7, rue du General de Larminat, 75015 Paris France",Orly Field,9,mi,4.0,48.8503819,2.2982166
Hotel Locomo,https://www.tripadvisor.com/Hotel_Review-g187147-d17637557-Reviews-Hotel_Locomo-Paris_Ile_de_France.html,"6 B rue de Lyon 12 Arr., 75012 Paris France",Orly Field,8,mi,4.5,48.846961,2.372109
Ibis Styles Paris Meteor Avenue de la Porte d'Italie,https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_de_la_Porte_d_Italie-Paris_Ile_de_France.html,"12 avenue de la Porte D Italie, 75013 Paris France",Orly Field,6,mi,3.0,48.8174569,2.3596677
Les Jardins de Mademoiselle,https://www.tripadvisor.com/Hotel_Review-g187147-d14195735-Reviews-Les_Jardins_de_Mademoiselle-Paris_Ile_de_France.html,"15 rue Mademoiselle, 75015 Paris France",Orly Field,9,mi,4.0,48.843636,2.2947325
Hotel le Senat,https://www.tripadvisor.com/Hotel_Review-g187147-d250387-Reviews-Hotel_le_Senat-Paris_Ile_de_France.html,"10 rue de Vaugirard, 75006 Paris France",Orly Field,8,mi,4.0,48.8490664,2.3397236
West End Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228727-Reviews-West_End_Hotel-Paris_Ile_de_France.html,"7 rue Clement Marot, 75008 Paris France",Orly Field,10,mi,4.0,48.8671535,2.3038748
Hotel Peyris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d232529-Reviews-Hotel_Peyris_Opera-Paris_Ile_de_France.html,"10 rue du Conservatoire, 75009 Paris France",Orly Field,10,mi,3.0,48.8739068,2.3470581
Hotel Scarlett,https://www.tripadvisor.com/Hotel_Review-g187147-d10062231-Reviews-Hotel_Scarlett-Paris_Ile_de_France.html,"1 rue Jouye Rouve, 75020 Paris France",Orly Field,10,mi,3.0,48.8731758,2.3827806
Hotel Madrigal,https://www.tripadvisor.com/Hotel_Review-g187147-d264705-Reviews-Hotel_Madrigal-Paris_Ile_de_France.html,"32 boulevard Pasteur 15e Arrondissement, 75015 Paris France",Orly Field,8,mi,2.0,48.8421759,2.3127547
Hotel Inn Design Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d228018-Reviews-Hotel_Inn_Design_Paris-Paris_Ile_de_France.html,"178 boulevard Vincent Auriol, 75013 Paris France",Orly Field,7,mi,3.0,48.8315978,2.3573871
Edouard Vi Hotel By Malone,https://www.tripadvisor.com/Hotel_Review-g187147-d197662-Reviews-Edouard_Vi_Hotel_By_Malone-Paris_Ile_de_France.html,"61 Boulevard du Montparnasse, 75006 Paris France",Orly Field,8,mi,3.0,48.844224,2.323456
InterContinental Paris - Le Grand,https://www.tripadvisor.com/Hotel_Review-g187147-d207742-Reviews-InterContinental_Paris_Le_Grand-Paris_Ile_de_France.html,"2 Rue Scribe, 75009 Paris France",Orly Field,10,mi,4.0,48.8707377,2.3302414
