restname,address_x
New Jawad Richelieu,"95 Rue de Richelieu, 75002 Paris France"
Le P'tit Troquet,"28 rue de l Exposition, 75007 Paris France"
Le Touareg,"228 Rue De Charenton, 75012 Paris France"
Le Potager du Pere Thierry,"16 rue des 3 Freres, 75018 Paris France"
Le Vieux Bistrot,"54 rue Mouffetard, 75005 Paris France"
A L'endroit,"9 rue du Tunnel, 75019 Paris France"
Tesoro d'Italia,"41 rue de Paradis, 75010 Paris France"
La Maison du Jardin,"27 rue de Vaugirard, 75006 Paris France"
La Grotte de Chypre,"85 rue Mouffetard, 75005 Paris France"
Au Petit Tonneau,"20 rue Surcouf, 75007 Paris France"
Le Bistro du Perigord,"71 rue Saint Jacques, 75005 Paris France"
Il Pomod'oro,"340 rue Saint Jacques 340 rue saint Jacques, 75005 Paris France"
Mavrommatis,"42 rue Daubenton, 75005 Paris France"
MARDI - Creperie Urbaine,"137 rue Montmartre, 75002 Paris France"
B.Better,"26 rue Beautreillis, 75004 Paris France"
Auguste,"54 rue de Bourgogne, 75007 Paris France"
Pedzouille l'Etable,"66 rue du Faubourg Poissonniere, 75010 Paris France"
Bistrot Paul Chene,"123 rue Lauriston, 75116 Paris France"
Coin-OP Table,"17 rue de Maubeuge, 75009 Paris France"
Restaurant L'Homme Bleu,"Oberkampf 55 B rue Jean Pierre Timbaud, 75011 Paris France"
Aux Cerises,"47 avenue de Suffren, 75007 Paris France"
Ripaille,"69 rue des Dames, 75017 Paris France"
Le Berbere,"62 rue Crozatier, 75012 Paris France"
Le Baron Rouge,"1 rue Theophile Roussel, 75012 Paris France"
Les Petits Crus,"13 rue Saint Sabin, 75011 Paris France"
Le Cambodge,"2 rue Leriche, 75015 Paris France"
L'Abreuvoir,"24 rue du Docteur Finlay, 75015 Paris France"
L'Italien,"40 rue de Ponthieu, 75008 Paris France"
De l'Autre Cote,"7 rue Leon Jouhaux, 75010 Paris France"
Kashmir House,"36 rue de Chabrol, 75010 Paris France"
La Crepe rit du Clown,"6 rue des Canettes, 75006 Paris France"
L'Impasto,"63 rue Traversiere, 75012 Paris France"
Guy Savoy,"Monnaie De Paris, 11 Quai De Conti, 75006 Paris France"
Le Poulbot,"3 rue Poulbot Montmartre, 75018 Paris France"
Papa Poule,"23 rue des Taillandiers, 75011 Paris France"
Papi Henri,"2 rue Brunel, 75017 Paris France"
Tra di Noi Vasco De Gama,"5 rue Vasco de Gama Restaurant, 75015 Paris France"
Chez Pradel,"168 rue Ordener, 75018 Paris France"
